reaction,description,DSM27147_S345,M10_S153,M11_S154,M13_S155,M14_S347,M1_S149,M2_S150,M4_S151,M6_S346,M8_S152,W289_S348,W290_S156,W291_S157,W292_S349,W293_S158,W294_S159,W295_S160,W296_S350,W298_S161
4ABUTD,4-Aminobutyraldehyde:NAD+ oxidoreductase,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0
4ABUTabcpp,GABA transport via ABC system  periplasm,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4ABZt,4 Aminobenzoate mitochondrial transport via diffusion,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4HALDD,Aldehyde dehydrogenase  4 hydroxyphenylacetaldehyde  NAD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4HBADH,4 hydroxy benzyl alcohol dehydrogenase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
4HBAt,MNXR68734,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4HBCOAH,4-hydroxybutanoyl-CoA dehydratase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4HOXPACMOF,4 hydroxyphenylacetate 3 monooxygenase FADH2,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
4PCP,"Tetrapeptide L,D-carboxypeptidase",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
4PEPTabcpp,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5DOAN,5'-deoxyadenosine nuclosidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5HBZIDMT,5-hydroxybenzimidazole methyltransferase,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
5HBZIDS2,5-hydroxybenzimidazole synthase,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
6PHBG,6-phospho-beta-glucosidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6PHBG2,Salicin 6-phosphate glucohydrolase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6PHBG_2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A24T,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A4GA,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A4HBCT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A4PA,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A6PAG,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A6PAG2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AAAN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AACPS7,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AACPS9,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AACT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1
AB6PGH,Arbutin 6-phosphate glucohydrolase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AB6PGH_1,Arbutin 6-phosphate glucohydrolase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABFPT2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABG4t2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABTA,4-aminobutyrate transaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABUTD,Aminobutyraldehyde dehydrogenase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ABUTtex,4-aminobutyrate transport via diffusion (extracellular to periplasm),1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACACT5r_1,Acetyl CoA C acyltransferase  decanoyl CoA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACALD,Acetaldehyde dehydrogenase (acetylating),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACALDt,Acetaldehyde reversible transport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACALDtpp,Acetaldehyde reversible transport (periplasm),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACCOAC,Acetyl-CoA carboxylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGAMK,N-acetylglucosamine kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGK,Acetylglutamate kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACGLUtd,"Transport of N-Acetyl-L-Glutamate, Diffusion",1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1
ACGS,N-acetylglutamate synthase,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
ACHBS,2-aceto-2-hydroxybutanoate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACKr,Acetate kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACLS,Acetolactate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ACNAMt2,N-acetylneuraminate proton symport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACNML,N-Acetylneuraminate lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD1f,Acyl-CoA dehydrogenase (butanoyl-CoA),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD1fr,Acyl-CoA dehydrogenase (butanoyl-CoA),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD2,Acyl-CoA dehydrogenase (hexanoyl-CoA),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD2f,Acyl-CoA dehydrogenase (hexanoyl-CoA),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOAD3,Acyl-CoA dehydrogenase (octanoyl-CoA),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD3f,Acyl-CoA dehydrogenase (octanoyl-CoA),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOAD4_1,Acyl CoA dehydrogenase  decanoyl CoA,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ACOAD5_1,Acyl CoA dehydrogenase  dodecanoyl CoA,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ACOAD6,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOAD6f,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ACOAD7,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACODA,Acetylornithine deacetylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOTA,Acetylornithine transaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACOXT,Acetyl-CoA:oxalate CoA-transferase,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACP1_FMN,Acid phosphatase (FMN),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACPPAT120,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ACPPAT141,Acyl-(acyl carrier protein):phosphate acyltransferase (C14:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ACPPD,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACS,Acetyl-CoA synthetase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACSPHAC101,R 3 Hydroxyacid Acyl CoA Synthetase  C101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACTD,Acetoin dehydrogenase,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
ACTD_1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACTDa,Acetoin dehydrogenase,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ACTNabc,Acetoin transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACTNabc1,Acetoin efflux  via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADA,Adenosine deaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADAPAT,"E N-acetyl-L,L-diaminopimelate aminotransferase",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCL,4-aminobenzoate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADCPS2,Adenosylcobinamide-phosphate synthase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ADCS,4-amino-4-deoxychorismate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADD,Adenine deaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADK1,Adenylate kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADMDC,Adenosylmethionine decarboxylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADNCYC,Adenylate cyclase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADNUC,Adenosine hydrolase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADOCBIAH,MNXR85327,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ADOCBIK,Adenosyl cobinamide kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADPDS,Acetyl diaminopimelate deacetylase,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
ADPGLC,ADPglucose diphosphatase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADPRDP,ADPribose diphosphatase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADPT,Adenine phosphoribosyltransferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADPTA,Acetyldiaminopimelate transaminase,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
ADSL1r,Adenylsuccinate lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADSL2r,Adenylosuccinate lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADSS,Adenylosuccinate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADtr,"Acetamide transport, extracellular",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AEPPYRTA,2 aminoethylphosphonate pyruvate transaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AEPabcpp,AEP transport via ABC system periplasm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AEPtex,AEP transport via diffusion extracellular to periplasm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGDC,N-acetylglucosamine-6-phosphate deacetylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGM3PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGM3PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm),1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1
AGM3PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase",1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1
AGM3Pt2pp,GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGM4PA,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
AGM4PApp,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm),1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
AGM4PCP,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1
AGM4PH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase",1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AGM4Pt2pp,GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm),1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1
AGMH,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase",0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
AGMT,Agmatinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGMt2pp,GlcNAc-anhMurNAc transport in via proton symport (periplasm),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
AGMtex,Agmatine transport via diffusion (extracellular to periplasm),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPAT120,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AGPAT141,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AGPOP,"DGTP:pyruvate 2-O-phosphotransferase, cytosol",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGPR,N-acetyl-g-glutamyl-phosphate reductase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGTi,Alanine glyoxylate aminotransferase  irreversible,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AHCYSNS,S-adenosylhomocysteine nucleosidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AHCi,Adenosylhomocysteinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AHGDx,(S)-alpha-hydroxyglutarate dehydrogenase,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
AHMMPS,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHMMPS_1,4 amino 5 hydroxymethyl 2 methylpyrimidine synthetase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AHSERL,O acetylhomoserine  thiol  lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AHSERL2,O acetylhomoserine  thiol  lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AHSERL4,Cysteine synthase  Thiosulfate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AICART,Phosphoribosylaminoimidazolecarboxamide formyltransferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AIRC2,Phosphoribosylaminoimidazole carboxylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AIRCr,Phosphoribosylaminoimidazole carboxylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKGDH,2-Oxogluterate dehydrogenase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKGDa,Oxoglutarate dehydrogenase (lipoamide),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKGDb,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAALAD,D-alanine-D-alanine dipeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAALAabcpp,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAALAr,D-alanine-D-alanine ligase (reversible),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAALAtex,D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm),1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1
ALAGLNtr,Dipeptide transport via ABC system ala-gln,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAGLYtr,Dipeptide transport via ABC system ala-gly,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAHIStr,Dipeptide transport via ABC system ala-his,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALALEUt,Dipeptide transport via ABC system ala-leu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAR,Alanine racemase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAS,,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
